Local Keywords,Month,Traffic Source,Views,Visits
foreign exchange rate,Feb-14,External,242,152
foreign exchange rate,Feb-14,Internal,14,8
capital gains,Feb-14,External,150,96
capital gains,Feb-14,Internal,5,3
depreciation rates,Feb-14,External,167,108
depreciation rates,Feb-14,Internal,3,2
cgt,Feb-14,External,170,113
cgt,Feb-14,Internal,12,9
payg instalments,Feb-14,External,103,73
payg instalments,Feb-14,Internal,75,44
tax offsets,Feb-14,External,225,74
tax offsets,Feb-14,Internal,53,19
allowances,Feb-14,External,283,108
allowances,Feb-14,Internal,15,9
tfn,Feb-14,External,157,115
tfn,Feb-14,Internal,11,7
company tax return instructions,Feb-14,External,147,80
company tax return instructions,Feb-14,Internal,65,31
gifts,Feb-14,External,253,102
gifts,Feb-14,Internal,6,4
residency,Feb-14,External,101,61
residency,Feb-14,Internal,34,21
fortnightly tax table,Feb-14,External,121,105
fortnightly tax table,Feb-14,Internal,4,4
tax file number declaration,Feb-14,External,172,127
tax file number declaration,Feb-14,Internal,3,2
exchange rate,Feb-14,External,156,103
exchange rate,Feb-14,Internal,14,10
income tax rates,Feb-14,External,80,80
income tax rates,Feb-14,Internal,7,6
super guarantee,Feb-14,External,133,85
super guarantee,Feb-14,Internal,17,10
benchmark,Feb-14,External,193,123
benchmark,Feb-14,Internal,33,12
contact,Feb-14,External,135,97
contact,Feb-14,Internal,3,2
termination,Feb-14,External,162,107
termination,Feb-14,Internal,4,3
trust tax return,Feb-14,External,113,55
trust tax return,Feb-14,Internal,27,9
cr 2013/18,Feb-14,External,55,51
fuel tax credits,Feb-14,External,92,77
fuel tax credits,Feb-14,Internal,15,9
deductions,Feb-14,External,144,79
deductions,Feb-14,Internal,17,6
tax,Feb-14,External,87,75
tax,Feb-14,Internal,55,15
1005,Feb-14,External,128,100
1005,Feb-14,Internal,10,5
tax pack,Feb-14,External,83,64
tax pack,Feb-14,Internal,17,13
tax declaration form,Feb-14,External,119,87
tax declaration form,Feb-14,Internal,1,1
overseas income,Feb-14,External,126,70
overseas income,Feb-14,Internal,11,8
statutory declaration,Feb-14,External,139,57
statutory declaration,Feb-14,Internal,39,24
deceased estate,Feb-14,External,130,81
deceased estate,Feb-14,Internal,28,12
rental properties,Feb-14,External,143,68
rental properties,Feb-14,Internal,9,8
individual tax return instructions supplement,Feb-14,External,62,51
individual tax return instructions supplement,Feb-14,Internal,14,13
tax tables,Mar-14,External,362,288
tax tables,Mar-14,Internal,35,32
8676,Mar-14,External,432,330
8676,Mar-14,Internal,4,3
tax rates,Mar-14,External,324,266
tax rates,Mar-14,Internal,33,26
fbt,Mar-14,External,399,313
fbt,Mar-14,Internal,24,15
superannuation,Mar-14,External,610,432
superannuation,Mar-14,Internal,16,12
gst,Mar-14,External,600,381
gst,Mar-14,Internal,179,41
abn,Mar-14,External,339,246
abn,Mar-14,Internal,13,11
auskey,Mar-14,External,135,113
auskey,Mar-14,Internal,11,10
medicare levy,Mar-14,External,326,245
medicare levy,Mar-14,Internal,38,24
tax tables 2014,Mar-14,External,70,36
tax tables 2014,Mar-14,Internal,4,2
capital gains tax,Mar-14,External,330,188
capital gains tax,Mar-14,Internal,27,15
tax calculator,Mar-14,External,271,187
tax calculator,Mar-14,Internal,11,8
forms,Mar-14,External,571,318
forms,Mar-14,Internal,18,13
hecs,Mar-14,External,338,248
hecs,Mar-14,Internal,27,8
tax rates 2014,Mar-14,External,57,43
tax rates 2014,Mar-14,Internal,12,4
tax table,Mar-14,External,272,213
tax table,Mar-14,Internal,10,9
74109,Mar-14,External,8,6
74109,Mar-14,Internal,3,3
taxable payments annual report,Mar-14,External,28,22
taxable payments annual report,Mar-14,Internal,14,13
superseeker,Mar-14,External,447,363
superseeker,Mar-14,Internal,30,18
foreign exchange rates,Mar-14,External,208,185
foreign exchange rates,Mar-14,Internal,14,10
payg withholding,Mar-14,External,145,122
payg withholding,Mar-14,Internal,11,9
payg,Mar-14,External,336,217
payg,Mar-14,Internal,10,8
bas,Mar-14,External,171,135
bas,Mar-14,Internal,17,15
medicare levy surcharge,Mar-14,External,270,213
medicare levy surcharge,Mar-14,Internal,51,34
depreciation,Mar-14,External,580,314
depreciation,Mar-14,Internal,8,7
fringe benefits tax,Mar-14,External,208,137
fringe benefits tax,Mar-14,Internal,11,6
help,Mar-14,External,214,184
help,Mar-14,Internal,36,21
superannuation guarantee,Mar-14,External,282,177
superannuation guarantee,Mar-14,Internal,14,9
tax file number,Mar-14,External,255,191
tax file number,Mar-14,Internal,13,4
22576,Mar-14,External,163,70
22576,Mar-14,Internal,15,12
contact us,Mar-14,External,51,37
contact us,Mar-14,Internal,7,4
2943,Mar-14,External,316,170
2943,Mar-14,Internal,229,141
income tax rates,Mar-14,External,86,76
income tax rates,Mar-14,Internal,6,5
dasp,Mar-14,External,105,66
dasp,Mar-14,Internal,18,9
business portal,Mar-14,External,46,41
business portal,Mar-14,Internal,12,4
redundancy,Mar-14,External,612,308
redundancy,Mar-14,Internal,56,27
salary sacrifice,Mar-14,External,315,209
salary sacrifice,Mar-14,Internal,13,9
weekly tax table,Mar-14,External,125,106
weekly tax table,Mar-14,Internal,1,1
tax free threshold,Mar-14,External,188,151
tax free threshold,Mar-14,Internal,13,11
depreciation rates,Mar-14,External,213,128
superstream,Mar-14,External,356,217
superstream,Mar-14,Internal,9,4
tfn application,Mar-14,External,132,104
tfn application,Mar-14,Internal,9,9
change of address,Mar-14,External,119,91
change of address,Mar-14,Internal,1,1
nat forms,Mar-14,External,62,17
contact,Mar-14,External,128,106
contact,Mar-14,Internal,6,5
abn lookup,Mar-14,External,73,68
abn lookup,Mar-14,Internal,10,9
medical expenses,Mar-14,External,155,99
medical expenses,Mar-14,Internal,5,4
how to pay,Mar-14,External,88,53
how to pay,Mar-14,Internal,55,26
superannuation contributions,Mar-14,External,201,88
individual tax rates,Mar-14,External,80,76
individual tax rates,Mar-14,Internal,3,3
calculator,Mar-14,External,259,145
calculator,Mar-14,Internal,37,15
fuel tax credit calculator,Mar-14,External,27,25
fuel tax credit calculator,Mar-14,Internal,2,2
travel allowance,Mar-14,External,305,192
travel allowance,Mar-14,Internal,16,12
tfn,Mar-14,External,183,140
tfn,Mar-14,Internal,16,11
fortnightly tax table,Mar-14,External,127,108
fortnightly tax table,Mar-14,Internal,8,6
gst registration,Mar-14,External,318,163
gst registration,Mar-14,Internal,56,13
small business benchmarks,Mar-14,External,104,98
small business benchmarks,Mar-14,Internal,19,16
payg tax tables,Mar-14,External,40,30
payg tax tables,Mar-14,Internal,1,1
abn application,Mar-14,External,110,75
abn application,Mar-14,Internal,11,8
fbt 2014,Mar-14,External,143,69
help debt,Mar-14,External,128,111
help debt,Mar-14,Internal,5,5
exchange rates,Mar-14,External,94,81
exchange rates,Mar-14,Internal,3,3
tax file number declaration form,Mar-14,External,135,116
1005,Mar-14,External,85,72
1005,Mar-14,Internal,13,11
benchmarks,Mar-14,External,175,126
benchmarks,Mar-14,Internal,43,39
low income tax offset,Mar-14,External,139,89
low income tax offset,Mar-14,Internal,11,6
payg instalments,Mar-14,External,62,45
payg instalments,Mar-14,Internal,22,13
fbt return 2014,Mar-14,External,57,29
fbt return 2014,Mar-14,Internal,3,2
tax calculator 2014,Mar-14,External,19,11
weekly tax table 2014,Mar-14,External,11,8
10759,Mar-14,External,62,49
10759,Mar-14,Internal,10,9
lost super,Mar-14,External,122,99
lost super,Mar-14,Internal,2,2
fuel tax credits,Mar-14,External,40,31
fuel tax credits,Mar-14,Internal,12,10
auskey registration,Mar-14,External,7,7
auskey registration,Mar-14,Internal,2,2
tax rate,Mar-14,External,174,133
tax rate,Mar-14,Internal,11,6
cgt,Mar-14,External,184,128
cgt,Mar-14,Internal,46,10
21505,Mar-14,External,47,35
21505,Mar-14,Internal,5,5
hecs balance,Mar-14,External,80,77
3092,Mar-14,External,107,91
3092,Mar-14,Internal,9,7
division 293,Mar-14,External,241,120
division 293,Mar-14,Internal,12,8
3093,Mar-14,External,45,41
3093,Mar-14,Internal,17,16
tax declaration form,Mar-14,External,158,115
tax declaration form,Mar-14,Internal,2,2
baby bonus,Mar-14,External,561,332
baby bonus,Mar-14,Internal,55,33
register for gst,Mar-14,External,161,102
register for gst,Mar-14,Internal,7,4
calculators,Mar-14,External,272,136
calculators,Mar-14,Internal,92,18
payg calculator,Mar-14,External,36,34
etax,Mar-14,External,53,44
etax,Mar-14,Internal,6,5
withholding tax,Mar-14,External,189,119
withholding tax,Mar-14,Internal,13,3
rental property,Mar-14,External,249,124
rental property,Mar-14,Internal,6,4
tax withheld calculator,Mar-14,External,120,88
tax withheld calculator,Mar-14,Internal,14,10
tax file number declaration,Mar-14,External,171,130
tax file number declaration,Mar-14,Internal,2,2
etp,Mar-14,External,220,129
etp,Mar-14,Internal,20,8
travel expenses,Mar-14,External,363,143
travel expenses,Mar-14,Internal,21,8
cents per kilometre,Mar-14,External,271,155
cents per kilometre,Mar-14,Internal,19,12
hecs debt,Mar-14,External,110,90
hecs debt,Mar-14,Internal,1,1
car allowance,Mar-14,External,213,117
car allowance,Mar-14,Internal,10,7
inheritance,Mar-14,External,468,185
inheritance,Mar-14,Internal,25,8
payment summary,Mar-14,External,167,116
payment summary,Mar-14,Internal,21,12
hobby,Mar-14,External,296,157
hobby,Mar-14,Internal,26,21
change address,Mar-14,External,75,66
tax tables,Apr-14,External,4519,3792
tax tables,Apr-14,Internal,763,494
8676,Apr-14,External,3899,2941
8676,Apr-14,Internal,304,261
tax rates,Apr-14,External,3271,2661
tax rates,Apr-14,Internal,314,228
fbt,Apr-14,External,2327,1936
fbt,Apr-14,Internal,57,43
superannuation,Apr-14,External,2302,1806
superannuation,Apr-14,Internal,42,35
gst,Apr-14,External,2211,1614
gst,Apr-14,Internal,195,126
abn,Apr-14,External,1956,1543
abn,Apr-14,Internal,83,68
auskey,Apr-14,External,1905,1607
auskey,Apr-14,Internal,207,131
medicare levy,Apr-14,External,1903,1370
medicare levy,Apr-14,Internal,209,123
tax tables 2014,Apr-14,External,2481,1635
tax tables 2014,Apr-14,Internal,119,73
capital gains tax,Apr-14,External,1837,1435
capital gains tax,Apr-14,Internal,80,59
tax calculator,Apr-14,External,2048,1445
tax calculator,Apr-14,Internal,55,41
forms,Apr-14,External,1935,1299
forms,Apr-14,Internal,52,36
hecs,Apr-14,External,1728,1268
hecs,Apr-14,Internal,85,56
tax rates 2014,Apr-14,External,1996,1446
tax rates 2014,Apr-14,Internal,71,47
tax table,Apr-14,External,1383,1178
tax table,Apr-14,Internal,127,111
74109,Apr-14,External,1768,1257
74109,Apr-14,Internal,214,164
taxable payments annual report,Apr-14,External,1896,1264
taxable payments annual report,Apr-14,Internal,170,109
superseeker,Apr-14,External,1139,883
superseeker,Apr-14,Internal,96,74
foreign exchange rates,Apr-14,External,1214,1040
foreign exchange rates,Apr-14,Internal,48,28
payg withholding,Apr-14,External,1291,1074
payg withholding,Apr-14,Internal,49,37
payg,Apr-14,External,1215,943
payg,Apr-14,Internal,75,50
bas,Apr-14,External,1176,983
bas,Apr-14,Internal,33,29
medicare levy surcharge,Apr-14,External,1122,840
medicare levy surcharge,Apr-14,Internal,105,70
depreciation,Apr-14,External,1202,765
depreciation,Apr-14,Internal,42,22
fringe benefits tax,Apr-14,External,1219,938
fringe benefits tax,Apr-14,Internal,13,11
help,Apr-14,External,975,720
help,Apr-14,Internal,216,135
superannuation guarantee,Apr-14,External,1161,840
superannuation guarantee,Apr-14,Internal,64,30
tax file number,Apr-14,External,985,847
tax file number,Apr-14,Internal,12,10
22576,Apr-14,External,933,622
22576,Apr-14,Internal,463,342
contact us,Apr-14,External,1194,984
contact us,Apr-14,Internal,31,19
2943,Apr-14,Internal,687,371
2943,Apr-14,External,739,362
income tax rates,Apr-14,External,1054,909
income tax rates,Apr-14,Internal,36,25
dasp,Apr-14,External,1237,843
dasp,Apr-14,Internal,85,55
business portal,Apr-14,External,1040,858
business portal,Apr-14,Internal,44,36
redundancy,Apr-14,External,976,567
redundancy,Apr-14,Internal,72,34
salary sacrifice,Apr-14,External,936,659
salary sacrifice,Apr-14,Internal,77,55
weekly tax table,Apr-14,External,963,783
weekly tax table,Apr-14,Internal,17,13
tax free threshold,Apr-14,External,798,687
tax free threshold,Apr-14,Internal,58,49
depreciation rates,Apr-14,External,1124,761
depreciation rates,Apr-14,Internal,9,8
superstream,Apr-14,External,1021,650
superstream,Apr-14,Internal,22,19
tfn application,Apr-14,External,961,725
tfn application,Apr-14,Internal,44,38
change of address,Apr-14,External,1002,758
change of address,Apr-14,Internal,16,9
nat forms,Apr-14,External,1345,810
nat forms,Apr-14,Internal,33,25
contact,Apr-14,External,801,721
contact,Apr-14,Internal,17,15
abn lookup,Apr-14,External,934,728
abn lookup,Apr-14,Internal,37,33
medical expenses,Apr-14,External,1173,694
medical expenses,Apr-14,Internal,59,33
how to pay,Apr-14,External,788,670
how to pay,Apr-14,Internal,116,71
superannuation contributions,Apr-14,External,1076,712
superannuation contributions,Apr-14,Internal,33,17
individual tax rates,Apr-14,External,819,703
individual tax rates,Apr-14,Internal,27,26
calculator,Apr-14,External,835,614
calculator,Apr-14,Internal,70,31
fuel tax credit calculator,Apr-14,External,849,770
fuel tax credit calculator,Apr-14,Internal,3,3
travel allowance,Apr-14,External,932,582
travel allowance,Apr-14,Internal,25,14
tfn,Apr-14,External,746,601
tfn,Apr-14,Internal,57,33
fortnightly tax table,Apr-14,External,752,634
fortnightly tax table,Apr-14,Internal,14,13
gst registration,Apr-14,External,849,528
gst registration,Apr-14,Internal,96,46
small business benchmarks,Apr-14,External,617,519
small business benchmarks,Apr-14,Internal,120,107
payg tax tables,Apr-14,External,866,691
payg tax tables,Apr-14,Internal,10,7
abn application,Apr-14,External,856,604
abn application,Apr-14,Internal,36,27
fbt 2014,Apr-14,External,842,637
fbt 2014,Apr-14,Internal,9,6
help debt,Apr-14,External,672,572
help debt,Apr-14,Internal,28,24
exchange rates,Apr-14,External,694,610
exchange rates,Apr-14,Internal,18,17
tax file number declaration form,Apr-14,External,784,567
tax file number declaration form,Apr-14,Internal,50,28
1005,Apr-14,External,595,486
1005,Apr-14,Internal,177,130
benchmarks,Apr-14,External,493,435
benchmarks,Apr-14,Internal,99,91
low income tax offset,Apr-14,External,955,562
low income tax offset,Apr-14,Internal,61,32
payg instalments,Apr-14,External,696,576
payg instalments,Apr-14,Internal,81,52
fbt return 2014,Apr-14,External,1118,643
fbt return 2014,Apr-14,Internal,12,5
tax calculator 2014,Apr-14,External,851,649
tax calculator 2014,Apr-14,Internal,27,17
weekly tax table 2014,Apr-14,External,1138,663
weekly tax table 2014,Apr-14,Internal,4,4
10759,Apr-14,External,430,368
10759,Apr-14,Internal,273,231
lost super,Apr-14,External,654,540
lost super,Apr-14,Internal,10,9
fuel tax credits,Apr-14,External,674,554
fuel tax credits,Apr-14,Internal,75,55
auskey registration,Apr-14,External,765,623
auskey registration,Apr-14,Internal,18,15
tax rate,Apr-14,External,594,462
tax rate,Apr-14,Internal,32,25
cgt,Apr-14,External,567,441
cgt,Apr-14,Internal,57,44
21505,Apr-14,External,460,333
21505,Apr-14,Internal,312,246
hecs balance,Apr-14,External,614,528
hecs balance,Apr-14,Internal,7,7
3092,Apr-14,External,488,354
3092,Apr-14,Internal,197,153
division 293,Apr-14,External,579,384
division 293,Apr-14,Internal,138,84
3093,Apr-14,External,379,338
3093,Apr-14,Internal,220,198
tax declaration form,Apr-14,External,672,459
tax declaration form,Apr-14,Internal,10,6
baby bonus,Apr-14,External,266,170
baby bonus,Apr-14,Internal,52,37
register for gst,Apr-14,External,544,438
register for gst,Apr-14,Internal,22,18
calculators,Apr-14,External,631,380
calculators,Apr-14,Internal,49,20
payg calculator,Apr-14,External,592,513
payg calculator,Apr-14,Internal,10,6
etax,Apr-14,External,488,452
etax,Apr-14,Internal,65,47
withholding tax,Apr-14,External,587,401
withholding tax,Apr-14,Internal,30,21
rental property,Apr-14,External,606,391
rental property,Apr-14,Internal,27,18
tax withheld calculator,Apr-14,External,498,386
tax withheld calculator,Apr-14,Internal,63,46
tax file number declaration,Apr-14,External,524,374
tax file number declaration,Apr-14,Internal,30,21
etp,Apr-14,External,491,353
etp,Apr-14,Internal,47,37
travel expenses,Apr-14,External,733,360
travel expenses,Apr-14,Internal,12,10
cents per kilometre,Apr-14,External,548,347
cents per kilometre,Apr-14,Internal,12,4
hecs debt,Apr-14,External,479,407
hecs debt,Apr-14,Internal,10,8
car allowance,Apr-14,External,584,375
car allowance,Apr-14,Internal,4,4
inheritance,Apr-14,External,687,283
inheritance,Apr-14,Internal,63,23
payment summary,Apr-14,External,436,335
payment summary,Apr-14,Internal,34,32
hobby,Apr-14,External,437,280
hobby,Apr-14,Internal,42,33
change address,Apr-14,External,493,425
